,length_url,length_domain,ip_address,number_of_hyphens,number_of_dots,number_of_dollar_sign,length_path
434,22.0,18.0,0.0,3.0,2.0,0.0,52.0
435,515.0,17.0,0.0,3.0,3.0,0.0,17.0
436,54.0,12.0,0.0,3.0,4.0,0.0,53.0
437,40.0,73.0,0.0,6.0,1.0,0.0,0.0
438,61.0,28.0,0.0,5.0,2.0,0.0,70.0
439,76.0,18.0,0.0,8.0,2.0,0.0,1.0
440,277.0,20.0,0.0,5.0,6.0,0.0,26.0
441,30.0,18.0,0.0,4.0,1.0,0.0,14.0
442,18.0,15.0,0.0,3.0,1.0,0.0,48.0
443,47.0,23.0,0.0,6.0,2.0,0.0,12.0
444,95.0,36.0,0.0,9.0,3.0,0.0,21.0
445,69.0,22.0,0.0,6.0,1.0,0.0,30.0
446,105.0,29.0,0.0,5.0,8.0,0.0,3.0
447,108.0,21.0,0.0,6.0,6.0,0.0,26.0
448,28.0,18.0,0.0,3.0,1.0,0.0,21.0
449,133.0,15.0,0.0,9.0,6.0,0.0,52.0
450,38.0,13.0,0.0,4.0,1.0,0.0,24.0
451,34.0,27.0,0.0,3.0,3.0,0.0,0.0
452,51.0,16.0,0.0,5.0,2.0,0.0,1.0
453,35.0,16.0,0.0,3.0,1.0,0.0,1.0
454,37.0,10.0,0.0,3.0,1.0,0.0,1.0
455,62.0,23.0,0.0,5.0,2.0,0.0,9.0
456,41.0,32.0,0.0,5.0,2.0,0.0,1.0
457,156.0,29.0,0.0,7.0,2.0,0.0,34.0
